"","log2FoldChange","padj","Factor"
"ko:K04536",-0.521963449711802,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04552",0.271500812522159,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04567",0.0304652100993635,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K04635",-1.06021737056805,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04712",-0.289376123055954,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K05754",-0.23318419230789,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K05755",0.572181016338745,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K05757",0.00686773163176291,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K05758",-0.345633100433826,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K05759",-0.624770223645918,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K06685",0.49711082633961,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K06689",-0.286893046524864,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K06704",0.345099853162711,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K07151",-0.195075847803365,0.920415041130739,"Menthol_Menthol_vs_Control"
"ko:K07192",0.0203671867796311,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K07205",-0.664983060090146,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K07342",-0.17420777994504,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K07375",-0.0645159230544824,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K07509",0.0234736059523234,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K07827",0.330971788701184,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K07874",0.30369899160486,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K07887",-0.0207894868962233,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K07890",1.03847693769353,0.241958159975776,"Menthol_Menthol_vs_Control"
"ko:K07891",-0.836421332854525,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K07893",-1.28610828264495,0.881512699503934,"Menthol_Menthol_vs_Control"
"ko:K07901",-0.474898210745061,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K07918",-1.18894625678983,0.82480748789227,"Menthol_Menthol_vs_Control"
"ko:K07936",0.431890030119961,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K07937",-0.0678522769538102,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K07952",-0.0991175291831273,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K07976",0.492149849302202,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K08056",0.547516247542732,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K08341",0.681015886153371,0.961916795994164,"Menthol_Menthol_vs_Control"
